[I 2022-10-14 16:05:09,519] A new study created in memory with name: no-name-1abdd6a4-1e1d-4418-b749-bf399fb3da15
[I 2022-10-14 16:05:10,529] Trial 0 finished with value: 40493.93339659086 and parameters: {'alpha': 0.0011650157998441815, 'fit_intercept': False, 'learning_rate': 'constant', 'max_iter': 9000, 'penalty': 'l2', 'random_state': 85, 'shuffle': False}. Best is trial 0 with value: 40493.93339659086.
[I 2022-10-14 16:05:11,292] Trial 1 finished with value: 43506.4770918451 and parameters: {'alpha': 0.17254209694095363, 'fit_intercept': True, 'learning_rate': 'constant', 'max_iter': 2600, 'penalty': 'l1', 'random_state': 25, 'shuffle': False}. Best is trial 0 with value: 40493.93339659086.
[I 2022-10-14 16:05:11,331] Trial 2 finished with value: 37615.10331292045 and parameters: {'alpha': 0.1135626490518496, 'fit_intercept': False, 'learning_rate': 'constant', 'max_iter': 6800, 'penalty': 'l2', 'random_state': 50, 'shuffle': True}. Best is trial 2 with value: 37615.10331292045.
[I 2022-10-14 16:05:11,382] Trial 3 finished with value: 31889.56465651806 and parameters: {'alpha': 0.05918731013751668, 'fit_intercept': True, 'learning_rate': 'constant', 'max_iter': 4300, 'penalty': 'elasticnet', 'random_state': 35, 'shuffle': True}. Best is trial 3 with value: 31889.56465651806.
[I 2022-10-14 16:05:11,483] Trial 4 finished with value: 29214.33707421047 and parameters: {'alpha': 0.056631922930505285, 'fit_intercept': True, 'learning_rate': 'invscaling', 'max_iter': 700, 'penalty': 'l2', 'random_state': 75, 'shuffle': True}. Best is trial 4 with value: 29214.33707421047.
[I 2022-10-14 16:05:11,578] Trial 5 finished with value: 82888.01000115511 and parameters: {'alpha': 6.481149560160166, 'fit_intercept': False, 'learning_rate': 'invscaling', 'max_iter': 8300, 'penalty': 'elasticnet', 'random_state': 75, 'shuffle': True}. Best is trial 4 with value: 29214.33707421047.
[I 2022-10-14 16:05:11,733] Trial 6 finished with value: 178709282.45049372 and parameters: {'alpha': 1.033407871842265, 'fit_intercept': True, 'learning_rate': 'optimal', 'max_iter': 4300, 'penalty': 'l2', 'random_state': 40, 'shuffle': True}. Best is trial 4 with value: 29214.33707421047.
[I 2022-10-14 16:05:12,135] Trial 7 finished with value: 34634.173354290855 and parameters: {'alpha': 0.19761690342407676, 'fit_intercept': False, 'learning_rate': 'invscaling', 'max_iter': 6200, 'penalty': 'l1', 'random_state': 80, 'shuffle': True}. Best is trial 4 with value: 29214.33707421047.
[I 2022-10-14 16:05:12,167] Trial 8 finished with value: 76147.74989448355 and parameters: {'alpha': 4.406339811567147, 'fit_intercept': False, 'learning_rate': 'constant', 'max_iter': 8600, 'penalty': 'l2', 'random_state': 90, 'shuffle': False}. Best is trial 4 with value: 29214.33707421047.
[I 2022-10-14 16:05:16,077] Trial 9 finished with value: 46654.577647032136 and parameters: {'alpha': 0.5334070485500949, 'fit_intercept': False, 'learning_rate': 'invscaling', 'max_iter': 2200, 'penalty': 'l1', 'random_state': 10, 'shuffle': False}. Best is trial 4 with value: 29214.33707421047.
[I 2022-10-14 16:05:16,215] Trial 10 finished with value: 27694.116182419435 and parameters: {'alpha': 0.011038952559899857, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 100, 'penalty': 'l2', 'random_state': 65, 'shuffle': True}. Best is trial 10 with value: 27694.116182419435.
[I 2022-10-14 16:05:16,348] Trial 11 finished with value: 40207.78590589495 and parameters: {'alpha': 0.014168368300556986, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 100, 'penalty': 'l2', 'random_state': 65, 'shuffle': True}. Best is trial 10 with value: 27694.116182419435.
